Approved_Symbol	Entrez_ID	BIG-C_Category	Affymetrix_HGU133A	BrainArray_HGU133A	Affymetrix_HGU133A2	BrainArray_HGU133A2	Affymetrix_HGU133-Plus2	BrainArray_HGU133-Plus2	Affymetrix_HuGene1-1	BrainArray_HuGene1-1	Illumina_HWG-6v2	Illumina_HWG-6v3	Illumina_HT-12v3	Illumina_HT-12v4
ABCA8	10351	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	5243	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCB4	5244	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCB7	22	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCB9	23457	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ABCC10	89845	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ABCC2	1244	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCC4	10257	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCC5	10057	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCC6	368	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCC8	6833	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCD1	215	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCD2	225	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	5825	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ABCD4	5826	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ABCE1	6059	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ABCF1	23	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ABCF2	10061	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ABCF3	55324	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
ABCG1	9619	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCG2	9429	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCG4	64137	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABHD10	55347	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ABHD11	83451	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ABHD17B	51104	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
ABHD2	11057	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
ABHD3	171586	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ABHD4	63874	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
ABHD5	51099	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ABHD6	57406	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ABHD8	79575	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
ABI1	10006	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ABI2	10152	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ABL1	25	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ABL2	27	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ABLIM1	3983	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ABLIM3	22885	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ABO	28	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
ABR	29	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
ABT1	29777	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
ABTB2	25841	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
ACAA1	30	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ACAA2	10449	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACACA	31	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACACB	32	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACAD10	80724	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACAD8	27034	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACADL	33	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACADM	34	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACADS	35	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACADSB	36	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACADVL	37	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACAN	176	Integrin-Pathway	1	1	1	1	1	1	1	1	1	1	1	1
ACAP2	23527	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
ACAT1	38	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACAT2	39	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACBD3	64746	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
ACBD4	79777	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACD	65057	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
ACE	1636	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACE2	59272	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ACHE	43	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ACIN1	22985	mRNA-Splicing	1	1	1	1	1	1	1	1	1	1	1	1
ACKR1	2532	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACKR2	1238	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACKR3	57007	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACLY	47	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACO1	48	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACO2	50	Mitochondria-TCA-Cycle	1	1	1	1	1	1	1	1	1	1	1	1
ACOT11	26027	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACOT13	55856	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACOT7	11332	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACOT9	23597	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACOX1	51	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ACOX2	8309	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ACOX3	8310	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
ACP1	52	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACP2	53	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ACP5	54	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ACP6	51205	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACPP	55	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ACSBG1	23205	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
ACSF2	80221	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACSL1	2180	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACSL3	2181	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACSL5	51703	Fatty-Acid-Biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
ACSM1	116285	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACSM3	6296	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACSM5	54988	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ACSS3	79611	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ACTA2	59	Integrin-Pathway	1	1	1	1	1	1	1	1	1	1	1	1
ACTB	60	Integrin-Pathway	1	1	1	1	1	1	1	1	1	1	1	1
ACTC1	70	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTG2	72	Integrin-Pathway	1	1	1	1	1	1	1	1	1	1	1	1
ACTL6A	86	Chromatin-Remodeling	1	1	1	1	1	1	1	1	1	1	1	1
ACTL8	81569	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTN1	87	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTN2	88	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTN3	89	Pseudogenes	1	1	1	1	1	1	1	1	1	1	1	1
ACTN4	81	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR10	55860	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR1A	10121	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR1B	10120	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR2	10097	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR3	10096	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR3B	57180	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR5	79913	Chromatin-Remodeling	1	1	1	1	1	1	1	1	1	1	1	1
ACTR6	64431	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACTR8	93973	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1	90	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1B	91	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACVR2A	92	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACVR2B	93	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACVRL1	94	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ACYP2	98	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ADA	100	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
ADAM10	102	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM12	8038	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM15	8751	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAM17	6868	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM19	8728	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM21	8747	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM22	53616	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM23	8745	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAM28	10863	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM8	101	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAM9	8754	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADAMDEC1	27299	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS1	9510	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS12	81792	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS13	11093	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS2	9509	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS5	11096	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS6	11174	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS8	11095	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTSL3	57188	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADAP2	55803	RAS-Superfamily	1	1	1	1	1	1	1	1	1	1	1	1
ADAR	103	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
ADARB1	104	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
ADARB2	105	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
ADAT1	23536	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
ADCK2	90956	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADCY1	107	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADCY2	108	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADCY3	109	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADCY7	113	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADCY8	114	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADCY9	115	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADD1	118	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ADD2	119	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ADD3	120	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ADGRA2	25960	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRA3	166647	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRB1	575	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRB3	577	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRE1	2015	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRE5	976	Immune-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRF1	266977	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRF5	221395	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRG1	9289	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRG2	10149	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRG3	222487	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRG6	57211	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRL1	22859	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRL2	23266	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADGRL3	23284	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADH1B	125	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADH5	128	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ADH6	130	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ADI1	55256	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADIPOQ	9370	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADIPOR1	51094	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADIPOR2	79602	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADIRF	10974	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
ADK	132	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADM	133	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ADNP	23394	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
ADNP2	22850	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
ADO	84890	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADORA1	134	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
ADORA2B	136	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADPGK	83440	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ADPRH	141	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADPRM	56985	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
ADRA1A	148	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADRA1D	146	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADRA2B	151	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ADRB2	154	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
ADRM1	11047	Proteasome	1	1	1	1	1	1	1	1	1	1	1	1
ADSL	158	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADSS	159	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ADTRP	84830	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
AEBP1	165	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AEN	64782	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
AES	166	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
AFAP1	60312	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
AFF1	4299	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
AFF3	3899	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
AFF4	27125	General-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
AFG3L2	10939	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AFP	174	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AFTPH	54812	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
AGA	175	Lysosome	1	1	1	1	1	1	1	1	1	1	1	1
AGAP1	116987	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
AGAP2	116986	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
AGBL2	79841	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AGBL5	60509	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
AGER	177	Pattern-Recognition-Receptors	1	1	1	1	1	1	1	1	1	1	1	1
AGFG1	3267	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
AGFG2	3268	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AGGF1	55109	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
AGK	55750	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AGL	178	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AGMAT	79814	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AGO1	26523	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
AGO3	192669	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
AGO4	192670	MicroRNA-Processing	1	1	1	1	1	1	1	1	1	1	1	1
AGPAT2	10555	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AGPAT3	56894	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
AGPAT5	55326	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AGPS	8540	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AGR2	10551	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
AGT	183	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
AGTPBP1	23287	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AGTR1	185	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
AGXT	189	Peroxisomes	1	1	1	1	1	1	1	1	1	1	1	1
AHCY	191	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AHCYL2	23382	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AHDC1	27245	Nucleus-and-Nucleolus	1	1	1	1	1	1	1	1	1	1	1	1
AHI1	54806	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
AHNAK	79026	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AHNAK2	113146	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AHR	196	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
AHSA1	10598	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
AHSP	51327	Unfolded-Protein-and-Stress	1	1	1	1	1	1	1	1	1	1	1	1
AICDA	57379	Immune-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AIF1	199	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
AIFM1	9131	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
AIM1	202	Pro-Proliferation	1	1	1	1	1	1	1	1	1	1	1	1
AIM1L	55057	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AIM2	9447	Pattern-Recognition-Receptors	1	1	1	1	1	1	1	1	1	1	1	1
AIMP1	9255	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AIMP2	7965	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
AIP	9049	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AIRE	326	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
AK1	203	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AK2	204	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
AK5	26289	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKAP1	8165	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AKAP10	11216	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AKAP11	11215	Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1
AKAP12	9590	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AKAP13	11214	Transcription-Factors	1	1	1	1	1	1	1	1	1	1	1	1
AKAP7	9465	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
AKAP8	10270	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AKAP8L	26993	Pro-Proliferation	1	1	1	1	1	1	1	1	1	1	1	1
AKIRIN1	79647	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AKR1A1	10327	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
AKR1B1	231	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR1B10	57016	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
AKR1C1	1645	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR1C2	1646	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR1C3	8644	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR1D1	6718	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR7A2	8574	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKR7A3	22977	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AKT1	207	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AKT2	208	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AKT3	10000	Intracellular-Signaling	1	1	1	1	1	1	1	1	1	1	1	1
AKTIP	64400	Golgi	1	1	1	1	1	1	1	1	1	1	1	1
ALAD	210	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ALAS1	211	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ALAS2	212	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ALB	213	Secreted-and-ECM	1	1	1	1	1	1	1	1	1	1	1	1
ALCAM	214	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1A1	216	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1A3	220	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1B1	219	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1L1	10840	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ALDH2	217	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3A1	218	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3A2	224	Endoplasmic-Reticulum	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3B1	221	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3B2	222	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
ALDH4A1	8659	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ALDH5A1	7915	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ALDH6A1	4329	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ALDH7A1	501	Glycolysis-Gluconeogenesis-and-Pentose-Phosphate-Pathways	1	1	1	1	1	1	1	1	1	1	1	1
ALDH8A1	64577	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
